,Valor
924,3071.279725230151
925,3222.6416423354185
926,3264.41498252415
927,3264.41498252415
928,3142.4158714446367
929,3142.4158714446367
930,9999999.0
931,2326.0531171666544
932,2788.013383411524
933,2788.013383411524
934,2959.6450716854947
935,3111.006988790762
936,3152.780328979494
937,3152.780328979494
938,2996.212815078172
939,2996.212815078172
940,9999999.0
941,2633.2392911430275
942,3042.378002930822
943,3042.378002930822
944,3214.009691204792
945,3365.37160831006
946,3407.1449484987916
947,3407.1449484987916
948,3285.1458374192775
949,3285.1458374192775
950,9999999.0
951,2743.4326594739027
952,3205.392925718772
953,3205.392925718772
954,3377.024613992742
955,3528.38653109801
956,3570.1598712867417
957,3570.1598712867417
958,3413.5923573854197
959,3413.5923573854197
960,9999999.0
961,2561.3728122350853
962,3023.3330784799555
963,3023.3330784799555
964,3194.9647667539257
965,3346.3266838591935
966,3388.100024047925
967,3388.100024047925
968,3231.5325101466033
969,3231.5325101466033
970,9999999.0
971,2513.9522053631454
972,2923.0909171509393
973,2923.0909171509393
974,3094.72260542491
975,3246.0845225301773
976,3287.857862718909
977,3287.857862718909
978,3165.8587516393955
979,3165.8587516393955
980,9999999.0
981,2666.105349463863
982,3075.2440612516575
983,3075.2440612516575
984,3246.8757495256277
985,3398.2376666308955
986,3440.0110068196273
987,3440.0110068196273
988,3318.0118957401132
989,3318.0118957401132
990,9999999.0
991,2095.1448598472944
992,2504.283571635089
993,2504.283571635089
994,2675.9152599090594
995,2827.277177014327
996,2869.050517203059
997,2869.050517203059
998,2747.051406123545
999,2747.051406123545
1000,9999999.0
1001,2972.196732842582
1002,3381.3354446303765
1003,3381.3354446303765
1004,3552.9671329043467
1005,3704.3290500096145
1006,3746.1023901983463
1007,3746.1023901983463
1008,3624.1032791188322
1009,3624.1032791188322
1010,9999999.0
1011,2832.651306140742
1012,3241.790017928536
1013,3241.790017928536
1014,3413.4217062025064
1015,3564.783623307774
1016,3606.556963496506
1017,3606.556963496506
1018,3484.557852416992
1019,3484.557852416992
1020,9999999.0
1021,2262.5339904359134
1022,2671.6727022237073
1023,2671.6727022237073
1024,2843.304390497678
1025,2994.6663076029454
1026,3036.439647791677
1027,3036.439647791677
1028,2914.4405367121635
1029,2914.4405367121635
1030,9999999.0
1031,2712.787980731785
1032,3152.1795503255353
1033,3152.1795503255353
1034,3323.8112385995055
1035,3475.1731557047733
1036,3516.946495893505
1037,3516.946495893505
1038,3382.9476786433024
1039,3382.9476786433024
1040,9999999.0
1041,2306.433328184607
1042,2715.5720399724014
1043,2715.5720399724014
1044,2887.2037282463716
1045,3038.5656453516394
1046,3080.338985540371
1047,3080.338985540371
1048,2958.339874460857
1049,2958.339874460857
1050,9999999.0
1051,2712.787980731785
1052,3152.1795503255353
1053,3152.1795503255353
1054,3323.8112385995055
1055,3475.1731557047733
1056,3516.946495893505
1057,3516.946495893505
1058,3382.9476786433024
1059,3382.9476786433024
1060,9999999.0
1061,2214.9502391914866
1062,2624.0889509792805
1063,2624.0889509792805
1064,2795.720639253251
1065,2947.0825563585186
1066,2988.8558965472503
1067,2988.8558965472503
1068,2866.8567854677367
1069,2866.8567854677367
1070,9999999.0
1071,2901.9642769490215
1072,3311.102988736816
1073,3311.102988736816
1074,3482.734677010786
1075,3634.096594116054
1076,3675.8699343047856
1077,3675.8699343047856
1078,3553.8708232252716
1079,3553.8708232252716
1080,9999999.0
1081,2294.7814901577967
1082,2703.9202019455906
1083,2703.9202019455906
1084,2875.5518902195613
1085,3026.9138073248287
1086,3068.6871475135604
1087,3068.6871475135604
1088,2946.688036434047
1089,2946.688036434047
1090,9999999.0
1091,2306.433328184607
1092,2715.5720399724014
1093,2715.5720399724014
1094,2887.2037282463716
1095,3038.5656453516394
1096,3080.338985540371
1097,3080.338985540371
1098,2958.339874460857
1099,2958.339874460857
1100,9999999.0
1101,2434.772893445436
1102,2843.91160523323
1103,2843.91160523323
1104,3015.5432935072004
1105,3166.905210612468
1106,3208.6785508012
1107,3208.6785508012
1108,3086.679439721686
1109,3086.679439721686
1110,9999999.0
1111,2127.809473631624
1112,2536.948185419418
1113,2536.948185419418
1114,2708.579873693389
1115,2859.9417907986563
1116,2901.715130987388
1117,2901.715130987388
1118,2779.7160199078744
1119,2779.7160199078744
1120,9999999.0
1121,2743.4326594739027
1122,3205.392925718772
1123,3205.392925718772
1124,3377.024613992742
1125,3528.38653109801
1126,3570.1598712867417
1127,3570.1598712867417
